"country","year","Title","Genre"
"Spain, Canada, United Kingdom, Hong Kong, United States, Australia, Argentina, Germany, Russia, Singapore, Czech Republic, France, Poland, India, Sweden, Netherlands, Slovakia, Lithuania, Brazil, Japan, Romania, Mexico, Belgium, Greece, South Korea, Switzerland, Portugal, South Africa, Iceland, Israel, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"Come Sunday","Biography, Drama"
"Spain, Canada, United Kingdom, Hong Kong, United States, Australia, Argentina, Germany, Russia, Singapore, Czech Republic, France, Poland, Sweden, Netherlands, India, Hungary, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Belgium, Mexico, South Korea, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Turkey, Malaysia, Colombia",2018,"I Am not an Easy Man","Comedy"
"Spain, Canada, United Kingdom, Hong Kong, United States, Australia, Germany, France, Czech Republic, Poland, Russia, Netherlands, Singapore, Sweden, India, Slovakia, Lithuania, Brazil, Japan, Israel, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"Reversing Roe","Documentary"
"Spain, Canada, United Kingdom, Hong Kong, United States, Australia, Germany, Russia, Czech Republic, Singapore, France, Poland, India, Sweden, Netherlands, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Colombia",2018,"The Laws of Thermodynamics","Comedy"
"Spain, Canada, United Kingdom, Hong Kong, United States, Australia, Germany, Russia, France, Czech Republic, Poland, Netherlands, Singapore, Sweden, India, Slovakia, Lithuania, Brazil, Japan, Israel, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"The Angel","Drama, Thriller"
"Spain, Canada, United Kingdom, Hong Kong, United States, Germany, Israel, Australia, Japan, France, Singapore, Russia, Poland, Netherlands, Sweden, India, Slovakia, Czech Republic, Lithuania, Brazil, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"Two Catalonias","Documentary, History, News"
"Spain, Canada, United Kingdom, Hong Kong, United States, Germany, Singapore, Australia, France, Poland, Sweden, Russia, Netherlands, Japan, India, Slovakia, Lithuania, Brazil, Israel, Romania, Czech Republic, Mexico, Belgium, South Korea, Greece, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"Quincy","Biography, Documentary"
"Spain, Canada, United Kingdom, United States, Australia, Argentina, Germany, Singapore, Czech Republic, Russia, France, Poland, India, Sweden, Hungary, Slovakia, Lithuania, Brazil, Hong Kong, Japan, Romania, Mexico, Belgium, South Korea, Greece, Switzerland, Portugal, South Africa, Iceland, Israel, Italy, Thailand, Netherlands, Turkey, Malaysia, Colombia",2018,"End Game","Documentary, Short"
"Spain, Canada, United Kingdom, United States, Hong Kong, Australia, Germany, Czech Republic, Singapore, Russia, France, Poland, India, Sweden, Netherlands, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Colombia",2018,"The Legacy of a Whitetail Deer Hunter","Comedy, Drama"
"Spain, Canada, United Kingdom, United States, Hong Kong, Australia, Germany, Singapore, Czech Republic, Russia, France, Poland, India, Netherlands, Sweden, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"The Skin of the Wolf","Action, Adventure, Drama, Romance, Thriller"
"Spain, Canada, United States, Australia, Argentina, Russia, France, Germany, Singapore, Czech Republic, Netherlands, Sweden, Poland, India, Slovakia, Brazil, Israel, Japan, Romania, Mexico, Belgium, Greece, Switzerland, Portugal, South Africa, South Korea, Iceland, Italy, Thailand, Hungary, Turkey, United Kingdom, Hong Kong, Lithuania, Malaysia, Colombia",2017,"Terrace House: Opening New Doors","Drama, Reality-TV"
"Spain, Czech Republic, Israel, Argentina, Australia, Belgium, Brazil, Canada, Switzerland, Germany, United Kingdom, United States, Mexico, Japan, Italy, Lithuania, Poland, India, South Africa, Hong Kong, South Korea, Russia, France, Thailand, Singapore, Iceland, Greece, Portugal, Netherlands, Slovakia, Sweden, Hungary, Turkey, Malaysia, Colombia, Romania",1982,"Class of 83","Action, Crime, Drama, Thriller"
"Spain, Czech Republic, Israel, Argentina, Australia, Belgium, Brazil, Canada, Switzerland, Germany, United Kingdom, United States, Mexico, Japan, Italy, Lithuania, Poland, India, South Africa, Hong Kong, South Korea, Russia, Thailand, Singapore, France, Iceland, Greece, Portugal, Netherlands, Slovakia, Sweden, Hungary, Turkey, Malaysia, Colombia, Romania",2004,"Hoops","Drama, Short"
"Spain, Czech Republic, Poland",2018,"Life Itself","Drama, Romance"
"Spain, France",2014,"Chinese Puzzle","Comedy, Drama, Romance"
"Spain, France, Australia, Sweden, Russia, Lithuania, Mexico, South Africa, United Kingdom, Canada, Romania, Japan, Czech Republic, Poland, Hong Kong, Hungary, Portugal, Germany, Slovakia, Greece, Thailand, Argentina, Singapore, India, Iceland, Belgium, Turkey",2009,"Kevin Hart: Im a Grown Little Man","Comedy, Documentary"
"Spain, France, Iceland, India, Germany, Portugal, Lithuania, Russia, South Africa, Slovakia, Czech Republic, Greece, Romania, Poland, Singapore, Israel, South Korea, Hong Kong, United States, United Kingdom, Canada, Mexico, Argentina, Brazil, Australia, Switzerland, Netherlands, Sweden, Belgium, Japan, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2017,"Take the 10","Comedy"
"Spain, France, Iceland, India, Germany, Portugal, Lithuania, Russia, South Africa, Slovakia, Czech Republic, Hungary, Greece, Romania, Poland, Singapore, Israel, Hong Kong, United States, Canada, Mexico, Argentina, Australia, Switzerland, Netherlands, Sweden, Belgium, South Korea, Japan, Italy, Thailand, United Kingdom, Turkey",2017,"Neal Brennan: 3 Mics","Comedy"
"Spain, France, India, Iceland, Germany, Portugal, Lithuania, Russia, South Africa, Slovakia, Czech Republic, Hungary, Greece, Romania, Poland, Singapore, Israel, South Korea, Hong Kong, United Kingdom, United States, Mexico, Argentina, Brazil, Australia, Switzerland, Sweden, Netherlands, Belgium, Canada, Japan, Italy, Thailand, Turkey, Malaysia, Colombia",2017,"Frontier","Adventure, Drama, History"
"Spain, France, South Africa, Thailand, Canada, Romania, Belgium, Switzerland, United Kingdom, Greece, Czech Republic, Mexico, Argentina, Turkey, Australia, Japan, Russia, Iceland, Poland, Hong Kong, India, Hungary, Sweden, Singapore, Slovakia, Germany, Lithuania, Portugal, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",1998,"Duplicate","Action, Comedy, Crime, Thriller"
"Spain, France, Thailand, Canada, South Africa, Romania, Belgium, Switzerland, United Kingdom, Czech Republic, Greece, Mexico, Argentina, Australia, Turkey, Iceland, Japan, Russia, Hong Kong, India, Singapore, Poland, Sweden, Hungary, Slovakia, Germany, Lithuania, Portugal, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2008,"Friendship","Comedy, Drama, Romance"
"Spain, France, Thailand, Canada, South Africa, Romania, Belgium, Switzerland, United Kingdom, Czech Republic, Greece, Mexico, Argentina, Turkey, Australia, Hong Kong, Japan, Iceland, Russia, Poland, Sweden, India, Hungary, Singapore, Slovakia, Germany, Lithuania, Portugal, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2013,"Gori Tere Pyaar Mein","Comedy, Drama, Romance"
"Spain, France, Thailand, South Africa, Romania, Belgium, United Kingdom, Greece, Mexico, Czech Republic, Argentina, Turkey, Australia, Japan, Russia, Iceland, Hong Kong, Poland, India, Sweden, Hungary, Singapore, Slovakia, Germany, Lithuania, Portugal, Canada, United States, Brazil, Netherlands, Italy, Israel, Colombia",2006,"Kabhi Alvida Naa Kehna","Drama, Romance"
"Spain, Germany, France, Canada, Netherlands, Singapore, Czech Republic, Sweden, Argentina, Poland, India, Hong Kong, United States, Lithuania, Brazil, United Kingdom, Australia, Russia, Slovakia, Israel, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2017,"Dope","Documentary"
"Spain, Germany, Iceland, Portugal, India, Slovakia, Czech Republic, Lithuania, Hungary, Russia, Greece, Romania, South Africa, Poland, South Korea, Singapore, Hong Kong, United Kingdom, United States, Mexico, Canada, Argentina, Brazil, Australia, Sweden, Netherlands, Belgium, Japan, Israel, Italy, Thailand, Turkey, France, Switzerland, Malaysia, Colombia",2016,"Divines","Crime, Drama"
"Spain, Greece, United Kingdom, Portugal, Iceland, Canada, Thailand, South Africa, United States, Mexico, Argentina, Turkey, Israel, Italy, Romania, Australia, Singapore, South Korea, Japan, Russia, France, Hong Kong, Poland, India, Netherlands, Hungary, Sweden, Belgium, Slovakia, Germany, Lithuania, Czech Republic, Brazil, Switzerland, Malaysia, Colombia",2019,"Dancing with the Birds","Documentary"
"Spain, Hong Kong, Argentina, Mexico, Belgium, Australia, Japan, South Korea, Singapore, France, Russia, Portugal, Netherlands, Sweden, India, Poland, Hungary, Slovakia, Czech Republic, Germany, Brazil, Lithuania, Switzerland, Romania, Greece, United Kingdom, South Africa, United States, Canada, Iceland, Israel, Italy, Thailand, Turkey, Colombia",2019,"Kevin Harts Guide to Black History","Comedy"
"Spain, Hong Kong, Canada, United Kingdom, Australia, Germany, Singapore, Czech Republic, Russia, France, Poland, India, Sweden, Slovakia, Lithuania, Japan, Romania, Mexico, South Korea, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Thailand, Hungary, Turkey, Greece, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"Secret City","Mystery, Thriller"
"Spain, Hong Kong, Canada, United Kingdom, United States, Australia, Germany, Czech Republic, Singapore, Russia, France, Poland, India, Sweden, Netherlands, Slovakia, Israel, Lithuania, Brazil, Japan, Romania, Mexico, South Korea, Greece, Belgium, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"Recovery Boys","Documentary"
"Spain, Hong Kong, Germany, Czech Republic, Singapore, Russia, France, Poland, India, Sweden, Hungary, Slovakia, Lithuania, Canada, Japan, Romania, Mexico, Belgium, South Korea, Greece, Argentina, Portugal, South Africa, Switzerland, United Kingdom, Iceland, Australia, Turkey, Thailand, United States, Brazil, Netherlands, Italy, Colombia",2017,"Maktub","Comedy, Drama"
"Spain, Hong Kong, Germany, France, Russia, Czech Republic, Singapore, Poland, Australia, Sweden, Argentina, India, Slovakia, Lithuania, Canada, Hungary, Japan, Romania, Mexico, South Korea, Belgium, Switzerland, Portugal, South Africa, United Kingdom, Iceland, Thailand, Turkey, Greece, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2004,"Troy","Drama, History"
"Spain, Hong Kong, Israel, Australia, Germany, France, Russia, Singapore, Poland, Netherlands, Sweden, India, Hungary, Japan, Slovakia, Czech Republic, Lithuania, Brazil, Canada, United Kingdom, Romania, Mexico, Belgium, South Korea, Greece, United States, Switzerland, Argentina, Portugal, South Africa, Iceland, Italy, Thailand, Turkey, Colombia",2018,"Lessons from a School Shooting: Notes from Dunblane","Documentary, History, Short"
"Spain, Hong Kong, Portugal, South Korea, France, Singapore, Russia, Sweden, Poland, Switzerland, Lithuania, Germany, Slovakia, Czech Republic, Argentina, United States, Greece, South Africa, United Kingdom, Canada, Mexico, Belgium, Japan, Australia, Hungary, India, Iceland, Thailand, Turkey, Malaysia, Brazil, Netherlands, Israel, Italy, Colombia",2019,"Mirage","Drama, Fantasy, Mystery, Romance, Thriller"
"Spain, Hong Kong, United Kingdom, Germany, France, Czech Republic, Russia, Poland, Netherlands, Australia, Singapore, Sweden, Argentina, India, Slovakia, Lithuania, Brazil, Canada, United States, Israel, Japan, Romania, Mexico, South Korea, Belgium, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"Fastest Car","Documentary, Reality-TV"
"Spain, Hungary, Romania, Canada, Brazil, Czech Republic, Argentina, Slovakia, Mexico, Colombia",2017,"Gold","Drama"
"Spain, Iceland, France, Thailand, Mexico, South Africa, Singapore, Romania, Belgium, United Kingdom, Greece, Czech Republic, Argentina, Turkey, Australia, Japan, Russia, Hong Kong, Sweden, Poland, India, Hungary, Slovakia, Germany, Lithuania, Portugal, Canada, United States, Brazil, Netherlands, Italy, Israel, Colombia",2003,"Kal Ho Naa Ho","Comedy, Drama, Musical, Romance"
"Spain, India, Canada, Singapore, Argentina, Poland, Sweden, Czech Republic, Lithuania, Russia, Hong Kong, Romania, Belgium, South Korea, Greece, Japan, Portugal, Mexico, South Africa, Iceland, Thailand, Hungary, Turkey, Australia, United Kingdom, France, United States, Malaysia, Brazil, Netherlands, Israel, Italy, Colombia",2017,"My Happy Family","Drama"
"Spain, Israel",1997,"Event Horizon","Horror, Sci-Fi, Thriller"
"Spain, Israel, Australia",2019,"A Madea Family Funeral","Comedy"
"Spain, Italy",2013,"Tad: The Lost Explorer","Adventure, Animation, Comedy, Family"
"Spain, Italy, Greece, Israel",2012,"Like Crazy","Drama, Romance"
"Spain, Italy, Switzerland",2017,"The Wilde Wedding","Comedy, Romance"
"Spain, Japan, Belgium, Sweden, Switzerland, Mexico, Portugal, Lithuania, India, Czech Republic, United Kingdom, Russia, Germany, South Africa, United States, Australia, Poland, Hong Kong, France, Canada, Singapore, Argentina, Greece, Slovakia, Thailand, Turkey, Malaysia, Hungary, Brazil, Netherlands, Italy, Iceland, Israel, Colombia, Romania",2012,"Toll Booth","Drama"
"Spain, Japan, Belgium, Sweden, Switzerland, Mexico, Portugal, Russia, Lithuania, Czech Republic, India, Germany, South Africa, United Kingdom, United States, Australia, Hong Kong, France, Canada, Singapore, Argentina, Thailand, Malaysia, Brazil, Netherlands, Iceland, Israel, Italy, Poland, Greece, Turkey, Colombia",2018,"Night of Knots","Comedy"
"Spain, Lithuania, France, Germany, Japan, Canada, Czech Republic, Sweden, Argentina, Poland, India, Brazil, Slovakia, Hungary, Israel, Hong Kong, Romania, Mexico, Belgium, Greece, Switzerland, Portugal, South Africa, Iceland, Italy, Australia, Netherlands, Russia, Turkey, United Kingdom, South Korea, Thailand, United States",2018,"Fakkah Fuzz: Almost Banned","Comedy"
"Spain, Mexico, Argentina, Brazil, Colombia",2017,"Just Getting Started","Comedy, Crime"
"Spain, Mexico, Argentina, Brazil, Colombia, United States",1984,"The Last Bastion","Drama, History, War"
"Spain, Mexico, Argentina, Russia, Poland, Hungary, Germany, Slovakia, Lithuania, United Kingdom, Canada, South Africa, India, Japan, Hong Kong, Australia, Thailand, Singapore, Switzerland, Czech Republic, Iceland, Turkey, Belgium, France, Romania, Portugal, Sweden, Greece, United States, Malaysia, Brazil, Netherlands, Italy, Israel, South Korea, Colombia",2018,"Cleo and Cuquin","Animation, Family"
"Spain, Mexico, Brazil, Colombia, United States, Argentina",2006,"Fuga","Drama, Music, Thriller"
"Spain, Mexico, Brazil, Colombia, United States, Argentina",2008,"Tony Manero","Drama, Music"
"Spain, Mexico, France, Belgium, Switzerland, Greece, Argentina, Turkey, Hong Kong, Japan, Russia, Iceland, Poland, Sweden, Germany, Lithuania, Portugal, Czech Republic, Singapore, Thailand, Australia, South Africa, Hungary, India, Canada, United Kingdom, Romania, Slovakia, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2015,"Magnificent","Documentary, Drama, Sport"
"Spain, Mexico, Singapore, France, Thailand, South Africa, Belgium, Switzerland, Greece, Argentina, Turkey, Hong Kong, Japan, Iceland, Poland, Sweden, Russia, Germany, Lithuania, Portugal, Australia, Hungary, Slovakia, India, United Kingdom, Romania, Czech Republic, Canada, United States, Malaysia, Brazil, Netherlands, Israel, Italy, Colombia",1987,"Muqaddar ka Faisla","Action, Comedy, Drama"
"Spain, Mexico, United Kingdom, Romania, Switzerland, Canada, Belgium, Hong Kong, Greece, Argentina, United States, Australia, France, Russia, South Korea, Netherlands, Japan, Singapore, Poland, Czech Republic, Sweden, India, Germany, Israel, Slovakia, Lithuania, Brazil, Portugal, South Africa, Iceland, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2018,"Tidelands","Crime, Drama, Fantasy"
"Spain, Mexico, United Kingdom, Switzerland, Canada, Romania, Belgium, Hong Kong, Greece, Argentina, Australia, Japan, France, Singapore, South Korea, Russia, Sweden, Poland, Czech Republic, India, Slovakia, Germany, Lithuania, Portugal, South Africa, Iceland, Thailand, Hungary, Turkey, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2018,"ROMA","Drama"
